Case Name,Filing Year,Description,Case Categories,Principal Laws
Center for Biological Diversity v. Scott,2021,Lawsuit challenging the 2021 issuance of nationwide permit to cover oil and gas pipeline projects.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Clean Water Act (CWA)|Administrative Procedure Act (APA)
Friends of the Clearwater v. Probert,2021,Lawsuit challenging the U.S. Forest Service's approvals of two logging projects in the Nez Perce-Clearwater National Forests.,Adaptation>Challenges to adaptation measures|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|National Forest Management Act (NFMA)|Administrative Procedure Act (APA)
Missouri v. Biden,2021,Challenge brought by states to challenge executive order that required development and application of a social cost of carbon.,Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Other Statutes and Regulations,Administrative Procedure Act (APA)|Separation of Powers Doctrine
Louisiana v. Biden,2021,Lawsuit challenging interim estimates for the social cost of greenhouse gases released by the Interagency Working Group on Social Cost of Greenhouse Gases.,Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Clean Air Act (CAA)|Energy Policy and Conservation Act (EPCA)|Mineral Leasing Act (MLA)|Outer Continental Shelf Lands Act (OCSLA)
Louisiana v. Biden,2021,Lawsuit challenging pause on new oil and gas leasing on public lands and in offshore waters.,Federal Statutory Claims>Other Statutes and Regulations,Mineral Leasing Act (MLA)|Administrative Procedure Act (APA)|Outer Continental Shelf Lands Act (OCSLA)
Liberty Packing Co. v. EPA,2021,Lawsuit to compel EPA to respond to a petition requesting reconsideration of the 2009 endangerment finding for greenhouse gases.,Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Endangerment Findings,Clean Air Act (CAA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. Haaland,2020,Lawsuit to compel classification of nine species as endangered or threatened and designation of critical habitat for 10 listed species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)
"Protect Our Parks, Inc. v. Buttigieg",2021,Challenge to federal approvals for the construction of the Obama Presidential Center in Jackson Park in Chicago.,Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA|Adaptation>Actions seeking adaptation measures|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|National Historic Preservation Act (NHPA)|Clean Water Act (CWA)|Department of Transportation Act (Section 4(f))|Rivers and Harbors Act|Urban Park and Recreation Recovery Act
"Texans Against High-Speed Rail, Inc. v. U.S. Department of Transportation",2021,"Challenge to Federal Railroad Administration's approval of a ""Rule of Particular Applicability"" for a high-speed rail technology proposed for use in Texas.",Adaptation>Reverse Impact Assessment|Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Arizona v. Mayorkas,2021,Lawsuit asserting that the Biden administration should have complied with the National Environmental Policy Act before changing course on immigration polices.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Friends of Cedar Mesa v. Department of the Interior,2021,"Challenge to approval of oil and gas leases in southeastern Utah, including for failure to consider climate change impacts on cultural resources.",Adaptation>Reverse Impact Assessment|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|National Historic Preservation Act (NHPA)|Administrative Procedure Act (APA)
No More Freeways v. U.S. Department of Transportation,2021,"Challenge to federal approval of a highway project in Portland, Oregon.",Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Department of Transportation Act (Section 4(f))
Sane Energy Project v. New York State Department of Environmental Conservation,2021,Challenge to negative declaration issued in connection with an air permit application for expansion of a gas facility in Brooklyn.,State Law Claims>State Impact Assessment Laws,New York State Environmental Quality Review Act (SEQRA)|State Law—Miscellaneous Statutes>New York Climate Leadership and Community Protection Act
WildEarth Guardians v. Wehner,2017,Challenge to the environmental review for the predator damage management program for Colorado.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Stop Syar Expansion v. County of Napa,2016,Challenge to the environmental review for expansion of an aggregate operation.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"In re Implementation of L. 2018, C. 16 Regarding Establishment of Zero Emission Certification Program for Eligible Nuclear Power Plants",2018,Challenge to New Jersey Board of Public Utilities approval of nuclear power plant applications for Zero Emission Certificates.,State Law Claims>Utility Regulation,New Jersey Global Warming Response Act|State Law—Miscellaneous Statutes>New Jersey ZEC Act
City of Torrance v. Southern California Edison Co.,2019,Lawsuit by California city against utility for withholding amounts collected as greenhouse gas credits from electricity users from taxes paid to the City under its electricity tax ordinance.,State Law Claims>Other Types of State Law Cases,California Global Warming Solutions Act (AB 32)|California Local Electricity Tax Ordinances
"Government Accountability &amp; Oversight, P.C. v. Frosh",2019,Lawsuit seeking to compel disclosure of the Maryland Office of the Attorney General’s application to participate in a program in which a center at NYU Law School would hire a fellow to serve as special assistant attorney general.,State Law Claims>Freedom of Information/Public Records,Maryland Public Information Act
County of Mono v. City of Los Angeles,2018,Lawsuit asserting that the Los Angeles Department of Water and Power should have conducted a California Environmental Quality Act review for its change in use of water on land owned by the Department in Mono County.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Rise St. James v. Louisiana Department of Environmental Quality,2020,Challenge to air permits for construction and operation of a new chemical manufacturing facility.,Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)|State Constitutions>Louisiana Constitution|State Law—Miscellaneous Statutes>Louisiana Environmental Quality Act
Appalachian Voices v. U.S. Department of Interior,2020,Challenge to U.S. Fish and Wildlife Service approvals for Mountain Valley Pipeline.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
"Memphis Community Against Pollution, Inc. v. U.S. Army Corps of Engineers",2021,Challenge to issuance of 2017 Nationwide Permit (NWP) 12 and the verification of the use of NWP 12 for the Byhalia crude oil pipeline.,Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Clean Water Act (CWA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2021,Challenge to the reclassification of the American burying beetle from “endangered” to “threatened” under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
"Natural Resources Defense Council, Inc. v. U.S. Fish &amp; Wildlife Service",2021,Lawsuit challenging the U.S. Fish and Wildlife Service's determination that designation of critical habitat for the rusty patch bumble bee would not be prudent and seeking to compel designation of critical habitat for the species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. U.S. Bureau of Land Management,2021,"Challenge to environmental review for oil and gas lease sale in Kern County, California.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Texas v. Biden,2021,Challenge to President Biden's revocation of the presidential permit for the Keystone XL pipeline and associated actions.,Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Other Statutes and Regulations,Administrative Procedure Act (APA)|Separation of Powers Doctrine|Nondelegation Doctrine
Harris County v. Texas Department of Transportation,2021,"Lawsuit alleging that Texas Department of Transportation failed to comply with the requirements in the National Environmental Policy Act and Section 4(f) of the Department of Transportation Act in connection with the rerouting of a Houston highway,",Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Department of Transportation Act (Section 4(f))|Administrative Procedure Act (APA)
"Safe Skies Clean Water Wisconsin, Inc. v. U.S. Air Force",2021,"Challenge to the decision by the U.S. Air Force to replace F-16 fighter jets with F35-A aircraft at an Air National Guard location in Madison, Wisconsin.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. County of Lake,2020,Challenge to environmental review for the Guenoc Valley Mixed Use Planned Development Project.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Center for Biological Diversity v. County of San Diego,2020,"Challenge to the environmental review for the Otay Ranch Resort Village 13 project in San Diego County, California.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Sierra Club v. County of San Diego,2019,"Challenge to the environmental review for the Otay Ranch Resort Village 14 project in San Diego County, California.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"Citizens for the Preservation of Wainscott, Inc. v. Town Board of East Hampton",2021,Challenge to an easement granted by the Town of East Hampton Town Board for the landing site of a transmission cable from a proposed offshore wind facility.,State Law Claims>State Impact Assessment Laws|State Law Claims>Utility Regulation,State Law—Utilities Laws|New York State Environmental Quality Review Act (SEQRA)|State Law—Miscellaneous Statutes>New York General Municipal Law|State Law—Miscellaneous Statutes>New York Public Service Law
Center for Biological Diversity v. Haaland,2020,Lawsuit challenging the withdrawal of the U.S. Fish and Wildlife Service's proposed rule to list the North American wolverine in the contiguous United States as a threatened distinct population segment.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
New York v. U.S. Department of Energy,2021,Challenge to final Energy Conservation Program rules for residential furnaces and commercial water heaters.,Federal Statutory Claims>Other Statutes and Regulations,Energy Policy and Conservation Act (EPCA)|Administrative Procedure Act (APA)
In re Hawai‘i Electric Light Co.,2020,Challenge to Hawai‘i Public Utilities Commission’s denial of a competitive bidding waiver to a utility in connection with power purchase agreement with biomass power facility.,State Law Claims>Utility Regulation,State Constitutions>Hawaiʻi Constitution|State Constitutions>Hawaiʻi Public Utilities Law
Citizens for a  Healthy Community v. U.S. Department of Interior,2021,"Lawsuit challenging federal defendants’ approval of the North Fork Mancos Master Development Plan, which allowed drilling of 35 horizontal gas wells in an area on the Western Slope of the Rocky Mountains.",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2021,Lawsuit seeking to compel the U.S. Fish and Wildlife Service to publish proposed rules regarding the listing of 10 species as endangered or threatened.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Living Rivers v. Hoffman,2019,Challenge by conservation groups to the suspension of 82 oil and gas leases.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
In re Hawaiian Electric Co.,2020,Challenge to Hawaii Public Utilities Commission's order declining to re-open a 2014 order that approved a Purchase Power Agreement for wind energy.,State Law Claims>Utility Regulation,State Constitutions>Hawaiʻi Public Utilities Law
Town of Sudbury v. Energy Facilities Siting Board,2020,Challenge to the approval of a new underground electrical transmission line running between substations in Massachusetts.,State Law Claims>Utility Regulation,Massachusetts Global Warming Solutions Act|Massachusetts Act to Promote Energy Diversity|State Law—Miscellaneous Statutes>Massachusetts Utility Laws|State Law—Miscellaneous Statutes>Massachusetts Electric Utility Restructuring Act
Washington State Dairy Federation v. Washington Department of Ecology,2019,Challenge to the Pollution Control Hearing Board's approval of general permits for concentrated animal feeding operations.,State Law Claims>Environmentalist Lawsuits,Clean Water Act (CWA)|Washington State Environmental Policy Act|State Law—Miscellaneous Statutes>Washington Administrative Procedure Act|State Law—Miscellaneous Statutes>Washington Water Resources Act of 1971|State Law—Miscellaneous Statutes>Washington Water Pollution Control Act|State Law—Miscellaneous Statutes>Washington Pollution Control Act of 1971
Martin v. California Coastal Commission,2018,Challenge to conditions imposed by California Coastal Commission on the construction of a single-family residence on a bluff adjacent to the Pacific Ocean.,Adaptation>Challenges to adaptation measures,State Law—Land Use Laws>Local Zoning Codes|State Law—Miscellaneous Statutes>California Coastal Act of 1976
"Uetricht v. Chicago Parking Meters, LLC",2021,Challenge to agreement between the City of Chicago and a private company granting the company control over the City's parking meter system for 75 years.,State Law Claims>Other Types of State Law Cases|Federal Statutory Claims>Other Statutes and Regulations,State Law—Miscellaneous Statutes>Illinois Consumer Fraud and Deceptive Business Practices Act|Sherman Antitrust Act
Interfaith Center on Corporate Responsibility v. U.S. Securities and Exchange Commission,2021,"Challenge to the U.S. Securities and Exchange Commission’s (SEC’s) adoption of amendments to Rule 14a-8, which governs the submission of shareholder proposals for inclusion in a company’s proxy statement.",Securities and Financial Regulation,Securities Act of 1933/Securities Exchange Act of 1934|Administrative Procedure Act (APA)
Earth Island Institute v. Coca-Cola Co.,2021,"Lawsuit alleging that Coca-Cola engaged in false and deceptive marketing by representing itself as a “sustainable and environmentally friendly company"" despite being one of the world's largest contributors to plastic pollution.",State Law Claims>Environmentalist Lawsuits,State Law—Miscellaneous Statutes>District of Columbia Consumer Protection Procedures Act
State v. Yildirim,2019,"Prosecution of ""valve turner"" activists who entered an Enbridge pipeline valve site and turned valves on a pipeline.",Climate Change Protesters and Scientists>Protesters,Necessity/Justification Defense
Energy Policy Advocates v. Mayor &amp; City Council of Baltimore,2020,Lawsuit seeking to compel the Mayor and City Council of Baltimore to disclose certain correspondence and agreements related to Baltimore's climate change litigation against fossil fuel companies.,State Law Claims>Freedom of Information/Public Records,Maryland Public Information Act
In re Oatly Group AB Securities Litigation,2021,"Securities class action against oatmilk company alleging greenwashing, among other misleading statements.",Securities and Financial Regulation,Securities Act of 1933/Securities Exchange Act of 1934
Allco Renewable Energy Ltd. v. Haaland (Vineyard Wind),2021,Lawsuit challenging federal review and approvals for the Vineyard Wind offshore wind project.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Marine Mammal Protection Act (MMPA)|Clean Water Act (CWA)|Administrative Procedure Act (APA)|Outer Continental Shelf Lands Act (OCSLA)
North Dakota v. U.S. Department of the Interior,2021,Lawsuit challenging the Biden administration's moratorium on oil and gas leasing.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Mineral Leasing Act (MLA)|Federal Land Policy and Management Act (FLPMA)|Administrative Procedure Act (APA)
Conservation Law Foundation v. Shell Oil Co.,2021,"Citizen suit alleging failures to prepare a bulk storage and fuel terminal in New Haven, Connecticut for the effects of climate change.",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures|Federal Statutory Claims>Other Statutes and Regulations,Clean Water Act (CWA)|Resource Conservation and Recovery Act (RCRA)
Conservation Law Foundation v. Gulf Oil LP,2021,"Citizen suit alleging failures to prepare a bulk storage and fuel terminal in New Haven, Connecticut for the effects of climate change.",Federal Statutory Claims>Clean Water Act|Adaptation>Actions seeking adaptation measures|Federal Statutory Claims>Other Statutes and Regulations,Clean Water Act (CWA)|Resource Conservation and Recovery Act (RCRA)
Komor v. United States,2021,Pro se lawsuit alleging that federal defendants violated the plaintiff's constitutional rights by causing and contributing to the accumulation of greenhouse gases in the atmosphere.,Constitutional Claims>Fifth Amendment|Constitutional Claims>Other Constitutional Claims,Public Trust Doctrine|Ninth Amendment|Fifth Amendment—Due Process|Fifth Amendment—Equal Protection
Western Watersheds Project v. U.S. Bureau of Land Management,2021,Challenge to the review of the U.S. Bureau of Land Management's revised livestock grazing analysis for the Sonoran Desert National Monument Resource Management Plan.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|National Historic Preservation Act (NHPA)|Federal Land Policy and Management Act (FLPMA)|Administrative Procedure Act (APA)|National Landscape Conservation System Act
Kaupiko v. Board of Land &amp; Natural Resources,2021,Challenge to revised environmental impact statement for commercial aquarium fishing.,State Law Claims>State Impact Assessment Laws,Hawaii Environmental Policy Act
Protect Our Aquifer v. Tennessee Valley Authority,2020,Challenge to long-term contracts for electricity between Tennessee Valley Authority and local utilities.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Tennessee Valley Authority Act
In re Enbridge Line 3 Replacement Project Section 401 Water Quality Certification,2020,Challenge to water quality certification for Enbridge Energy's Line 3 replacement pipeline project in Minnesota.,Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)|Minnesota Administrative Procedure Act
Friends of the Earth v. Haaland,2021,Lawsuit challenging federal defendants' decision to hold an offshore oil and gas lease sale in the Gulf of Mexico.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
ACK Residents Against Turbines v. U.S. Bureau of Ocean Energy Management,2021,Lawsuit challenging the federal reviews of the Vineyard Wind 1 offshore wind project.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
AquAlliance v. U.S. Fish &amp; Wildlife Service,2021,Challenge to federal authorizations for a multi-use development in the City of Chico.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Clean Water Act (CWA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. U.S. Fish &amp; Wildlife Service,2021,Challenge to the determination that the Clear Lake hitch was not warranted for listing under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
American Petroleum Institute v. U.S. Department of the Interior,2021,Lawsuit seeking to compel federal defendants to proceeding with onshore and offshore oil and gas lease sales.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|Mineral Leasing Act (MLA)|Federal Land Policy and Management Act (FLPMA)|Administrative Procedure Act (APA)|Outer Continental Shelf Lands Act (OCSLA)
California Trucking Association v. South Coast Air Quality Management District,2021,"Lawsuit seeking to block implementation of a South Coast Air Quality Management District rule imposing compliance obligations on warehouses based on the number, type, and emission characteristics of trucks that visit the warehouse facilities.",State Law Claims>Industry Lawsuits|Constitutional Claims>Other Constitutional Claims|Federal Statutory Claims>Clean Air Act>Industry Lawsuits>Other Regulation,Clean Air Act (CAA)|Supremacy Clause|State Constitutions>California Constitution|State Law—Miscellaneous Statutes>California Health and Safety Code|Federal Aviation Administration Authorization Act of 1994
Cape Fear River Watch v. U.S. Army Corps of Engineers,2021,"Lawsuit challenging the elimination of seasonal restrictions on ""hopper dredging.""",Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Indigenous Peoples of the Coastal Bend v. U.S. Army Corps of Engineers,2021,Challenge to Clean Water Act permit for expansion of crude oil export terminal in Texas.,Federal Statutory Claims>Clean Water Act|Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Clean Water Act (CWA)|Administrative Procedure Act (APA)
Town of Copake v. New York State Office of Renewable Energy Siting,2021,Challenge to regulations establishing  procedural and substantive requirements for permit applications for major renewable energy facilities.,State Law Claims>State Impact Assessment Laws,New York State Environmental Quality Review Act (SEQRA)|State Constitutions>New York Constitution|State Law—Miscellaneous Statutes>New York Climate Leadership and Community Protection Act|State Law—Miscellaneous Statutes>New York State Administrative Procedure Act|State Law—Miscellaneous Statutes>New York Accelerated Renewable Energy Growth and Community Benefit Act of 2020
"Greenpeace, Inc. v. Walmart Inc.",2020,Lawsuit alleging that Walmart's marketing of plastic and plastic-packaged products as recyclable violated California's Unfair Competition Law.,State Law Claims>Environmentalist Lawsuits,State Law—Unfair Competition|State Law—Miscellaneous Statutes>California Unfair Competition Law
AquAlliance v. U.S. Bureau of Reclamation,2021,Challenge to program to incentivize groundwater pumping as an alternative to obtaining water from the Sacramento River.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
In re Petition of Apple Hill Solar LLC,2020,Challenge to the Vermont Public Utility Commission's denial of a certificate of public good for construction of a solar facility.,State Law Claims>Utility Regulation,State Law—Miscellaneous Statutes>Title 30 Vermont Statutes Annotated|State Law—Miscellaneous Statutes>Vermont Administrative Procedure Act
Ochs v. District of Columbia,2019,"Prosecution of two climate change protestors for crowding, obstructing, or incommoding a street after being warned to cease.",Climate Change Protesters and Scientists>Protesters,State Law—Miscellaneous Statutes>First Amendment Assemblies Act|State Law—Miscellaneous Statutes>D.C. Code—Criminal Offenses and Penalties
Sierra Watch v. County of Placer,2016,Challenge to CEQA review for proposed report in Olympic Valley.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Vermont v. Exxon Mobil Corp.,2021,Consumer protection lawsuit brought by the State of Vermont against fossil fuel companies alleging deceptive and unfair business practices in connection with the companies' sale of their products.,State Law Claims>Enforcement Cases,State Law—Miscellaneous Statutes>Vermont Consumer Protection Act
"Stossel v. Meta Platforms, Inc.",2021,Defamation lawsuit against Facebook and fact-checkers for alleged mischaracterizations of plaintiff's climate change videos.,Climate Change Protesters and Scientists>Protesters,State Law—Defamation
Center for Biological Diversity v. U.S. Bureau of Land Management,2021,Challenge to federal defendants' management of the West Mojave Planning Area of the California Desert Conservation Area.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Federal Land Policy and Management Act (FLPMA)
Center for Biological Diversity v. Tennessee Valley Authority,2021,Challenge to Tennessee Valley Authority’s (TVA's) response to a petition requesting that TVA adopt regulations limiting its ability to pay funds to third-party organizations that the plaintiffs alleged worked against the interests of TVA ratepayers.,Federal Statutory Claims>Other Statutes and Regulations,Administrative Procedure Act (APA)
Stewart v. Entergy Corp.,2021,Lawsuit seeking to hold an electricity provider liable for damages allegedly sustained as a result of the failure of electrical infrastructure during Hurricane Ida.,Adaptation>Actions seeking money damages for losses,Contract Law|State Law—Negligence|State Law–Strict Liability
350 Seattle v. Puget Sound Clean Air Agency,2021,Lawsuit alleging that local clean air agencies in Washington were unlawfully shifting decision-making authority for new source approval to technical staff and undermining the State's ability to achieve greenhouse gas reduction targets.,State Law Claims>Environmentalist Lawsuits,Washington State Clean Air Act
"Last Beach Cleanup v. TerraCycle, Inc.",2021,"Lawsuit alleging that defendants engage in unlawful, unfair, and deceptive business practices by marketing products and packaging made from single-use plastics and other difficult-to-recycle materials as recyclable.",State Law Claims>Environmentalist Lawsuits,State Law—Miscellaneous Statutes>California Unfair Competition Law|State Law—Miscellaneous Statutes>California False Advertising Law|State Law—Miscellaneous Statutes>California Environmental Marketing Claims Act
"TruOjai, LLC v. County of Ventura",2018,Challenge to Ventura County ordinance that banned short-term rentals in Ojai Valley.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)|State Law—Land Use Laws>California Planning and Zoning Law
Yes in My Back Yard v. California Department of Housing and Community Development,2021,Lawsuit to compel the California Department of Housing and Community Development to supplement its regional housing needs determination for the San Francisco Bay Area to consider jobs-housing balance.,State Law Claims>Other Types of State Law Cases,State Law—Miscellaneous Statutes>Sustainable Communities and Climate Protection Act of 2008 (SB 375)|State Law—Miscellaneous Statutes>California Regional Housing Needs Assessment Law
DeIuliis v. Engel,2020,Defamation lawsuit brought by energy executive against writers and media company for assigning blame for climate change to him and other executives.,Climate Change Protesters and Scientists>Protesters,State Law—Defamation|False Light Invasion of Privacy
Pruitt v. Biden,2021,Lawsuit brought by pro se plaintiff to stop the United States from reentering the Paris Climate Accord.,Constitutional Claims>Other Constitutional Claims,Article II (U.S. Constitution)
Elfin Forest Harmony Grove Town Council v. County of San Diego,2018,Lawsuit challenging the environmental review for a mixed-use development in San Diego County.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
McCann v. City of San Diego,2019,Challenge to environmental review for project to convert overhead utility wires to an underground system.,State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Center for Biological Diversity v. U.S. Maritime Administration,2021,Lawsuit asserting that the adoption and continued implementation of the America's Marine Highway Program required consultation under Section 7 of the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Energy Independence and Security Act (EISA)
Young v. EPA,2021,Challenge to the Biden administration's reconstitution of the Science Advisory Board and the Clean Air Scientific Advisory Committee.,Climate Change Protesters and Scientists>Scientists|Federal Statutory Claims>Other Statutes and Regulations,Administrative Procedure Act (APA)|Federal Advisory Committee Act
Perri v. Croskrey,2021,"Stockholder derivative action against board of directors and upper management at a company that produces a ""purportedly biodegradable plastic alternative.""",Securities and Financial Regulation,Securities Act of 1933/Securities Exchange Act of 1934|State Law—Unjust Enrichment|Breach of Fiduciary Duty|Waste
Montana Environmental Information Center v. Montana Department of Environmental Quality,2021,Challenge to air quality permit for construction and operation of a gas-fired power plant.,State Law Claims>State Impact Assessment Laws,Montana Environmental Policy Act|State Constitutions>Montana Constitution
Berkeley Citizens for a Better Plan v. Regents of the University of California,2021,"Challenge to environmental review for the University of California, Berkeley’s 2021 Long Range Development Plan and two construction projects.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"American Federation of State, County, &amp; Municipal Employees, Local 3299 v. Regents of University of California",2021,"Challenge to environmental review for the University of California, Berkeley’s 2021 Long Range Development Plan and two housing projects.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"Conservation Law Foundation v. DATTCO, Inc.",2020,"Citizen suit against transportation company that operated a fleet of more than 1,000 vehicles for unlawfully idling vehicles for extended periods of time.",Federal Statutory Claims>Clean Air Act>Environmentalist Lawsuits,Clean Air Act (CAA)
"In re Application of PSEG Nuclear, LLC and Exelon Generation Company, LLC for the Zero Emission Certificate Program – Salem Unit 1",2020,"Challenge to $800 million in subsidies awarded to the owners of three nuclear power plants in the form of ""zero emissions certificates.""",State Law Claims>Utility Regulation,State Law—Miscellaneous Statutes>New Jersey ZEC Act
Make UC a Good Neighbor v. Regents of University of California,2021,"Challenge to environmental review for the University of California, Berkeley’s 2021 Long Range Development Plan and two housing projects.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
"Rosencrants v. Danimer Scientific, Inc.",2021,"Federal securities class action against company that produces a biodegradable plastic alternative for allegedly making false and misleading statements about the company, including by overstating the product's biodegradability in oceans and landfills.",Securities and Financial Regulation,Securities Act of 1933/Securities Exchange Act of 1934
San Leandro Workers Alliance v. San Leandro City Council,2021,"Challenge to approvals for a mixed-use residential development, including for failure to consider the greenhouse gas emissions created by the project.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)
Swartz v. Coca-Cola Co.,2021,"Lawsuit alleging that Coca-Cola's advertising, marketing, and sale of water in plastic bottles labeled as ""100% recyclable"" constitutes unlawful, unfair, and deceptive business practices.",State Law Claims>Environmentalist Lawsuits,State Law—Fraud|State Law—Miscellaneous Statutes>California Consumers Legal Remedies Act|State Law—Miscellaneous Statutes>California Unfair Competition Law|State Law—Miscellaneous Statutes>California False Advertising Law|State Law—Miscellaneous Statutes>California Environmental Marketing Claims Act|Negligent Misrepresentation
Friends of the Wild Swan v. Haaland,2020,Lawsuit filed challenging the U.S. Fish and Wildlife Service's decision to forgo recovery planning for the Canada lynx in the contiguous United States.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
